BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,PRICE_LOG,SQFT_LOG,PRICE_PER_SQFT,PRICE_PER_SQFT_LOG,BEDS_PER_SQFT,BATH_PER_SQFT,DIST_TO_MANHATTAN,DIST_TO_JFK_AIRPORT,DIST_TO_LAGUARDIA_AIRPORT,DIST_TO_TIMES_SQUARE,LOCALITY_GROUPED,SUBLOCALITY_GROUPED,BEDS_TIMES_BATH,SQFT_TIMES_DISTANCE
Brokered by KA REALTY GROUP INC,House for sale,350000,3,2.3738608579684373,1520.0,399 Linwood St,"Brooklyn, NY 11208","399 Linwood StBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,Linwood Street,"399 Linwood St, Brooklyn, NY 11208, USA",40.6758271,-73.8828978,12.765691290604371,7.327123292259293,230.26315789473685,5.443556273778115,0.0019736842105263,0.0015617505644529,0.1389415474192287,0.1103390208369183,0.1014637962982346,0.1314518806988015,New York,Kings County,7.121582573905312,211.1911520772277
Brokered by Brown Harris Stevens,Townhouse for sale,1900000,4,4.0,2184.207862,362 Hawthorne St Unit Townhouse,"Brooklyn, NY 11225","362 Hawthorne St Unit TownhouseBrooklyn, NY 11225",United States,New York,Kings County,Brooklyn,Hawthorne Street,"362 Hawthorne St, Brooklyn, NY 11225, USA",40.6577472,-73.9484157,14.45736497045232,7.6894662343551055,869.8805791589078,6.769504859712892,0.0018313275350713,0.0018313275350713,0.1274066277488284,0.1711080011405988,0.1404816221230706,0.1068918575679655,New York,Kings County,16.0,278.28255799989853
"Brokered by Compass Greater Ny, Llc",Multi-family home for sale,1388000,3,2.0,2520.0,1801 Avenue W,"Brooklyn, NY 11229","1801 Avenue WBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,Avenue L,"1801 Avenue L, Brooklyn, NY 11230, USA",40.620978,-73.957202,14.143375140509722,7.83241092718792,550.7936507936508,6.313174155362603,0.0011904761904761,0.0007936507936507,0.1627251882407849,0.1802512415713137,0.1767321218341448,0.1399135636312679,New York,Kings County,6.0,410.0674743667781
Brokered by Momentum Real Estate Llc,Multi-family home for sale,750000,2,3.0,1530.0,90 Coale Ave,"Staten Island, NY 10314","90 Coale AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Coale Avenue,"90 Coale Ave, Staten Island, NY 10314, USA",40.6132884,-74.128148,13.527829818844936,7.333676395657684,490.1960784313725,6.196843393151577,0.0013071895424836,0.0019607843137254,0.2312329003376433,0.3511669859747078,0.3022581042065853,0.2031991611167687,New York,Richmond County,6.0,353.78633751659424
Brokered by Keller Williams NYC,Townhouse for sale,3800000,6,4.0,3340.0,464 5th St,"Brooklyn, NY 11215","464 5th StBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,5th Street,"464 5th St, Brooklyn, NY 11215, USA",40.6694134,-73.9802538,15.150511887854474,8.114025442356757,1137.7245508982037,7.037664100046245,0.0017964071856287,0.0011976047904191,0.1140465445070508,0.2040992947415598,0.1511398001652766,0.0887418070246481,New York,Kings County,24.0,380.9154586535497
Brokered by COMPASS,Co-op for sale,2995000,2,2.0,2184.207862,10 Park Ave Ph 25A,"Manhattan, NY 10016","10 Park Ave Ph 25AManhattan, NY 10016",New York,New York County,New York,Manhattan,10,"10 Park Ave # 25e, New York, NY 10016, USA",40.7474421,-73.9813221,14.912455123421449,7.6894662343551055,1371.2064918846995,7.224175301250336,0.0009156637675356,0.0009156637675356,0.0370667336141161,0.2292713835628466,0.1112915136963318,0.0113544749248945,New York County,New York,4.0,80.96145097861219
Brokered by Redfin Real Estate,House for sale,1499888,4,3.0,2688.0,209-35 30th Ave,"Bayside, NY 11360","209-35 30th AveBayside, NY 11360",United States,New York,Queens County,Queens,30th Avenue,"209-35 30th Ave, Flushing, NY 11360, USA",40.7735601,-73.7795242,14.220901663334304,7.896924656268864,557.9940476190476,6.326138824831944,0.0014880952380952,0.0011160714285714,0.1919130584344106,0.1322677677956691,0.0945348174888469,0.2065626948353736,New York,Queens County,12.0,515.8623010716958
Brokered by COMPASS,Co-op for sale,865000,1,1.0,2184.207862,407 Park Ave S Apt 11D,"Manhattan, NY 10016","407 Park Ave S Apt 11DManhattan, NY 10016",New York,New York County,New York,Manhattan,407,"407 Park Ave S Apartment 11b, New York, NY 10016, USA",40.743373,-73.983626,13.670485941982712,7.6894662343551055,396.024579459187,5.983998191766093,0.0004578318837678,0.0004578318837678,0.0416249925525525,0.2294773060784049,0.1146382118013065,0.0147465590901786,New York County,New York,1.0,90.91763598897678
Brokered by Sowae Corp,Multi-family home for sale,250000,5,2.0,2184.207862,130-24 150th St,"Jamaica, NY 11436","130-24 150th StJamaica, NY 11436",United States,New York,Queens County,Queens,150th Street,"130-24 150th St, Jamaica, NY 11436, USA",40.66911,-73.789339,12.429220196836384,7.6894662343551055,114.45797094196156,4.748906575790178,0.0022891594188392,0.0009156637675356,0.2146325777252788,0.0299951866305279,0.1370626463373528,0.2153614868564044,New York,Queens County,10.0,468.8021637088801
Brokered by Flat Rate Realty Of Queens Ltd,Co-op for sale,169000,1,1.0,850.0,165-20 Highland Ave Unit 105,"Jamaica, NY 11432","165-20 Highland Ave Unit 105Jamaica, NY 11432",New York,Queens County,Queens,Jamaica,16520,"16520 Highland Ave Apt 105, Jamaica, NY 11432, USA",40.7106599,-73.7986899,12.037659911047468,6.746412128573375,198.8235294117647,5.297434624104368,0.0011764705882352,0.0011764705882352,0.1871023855807777,0.0723515010903054,0.1002963708716255,0.1927150708429957,Queens County,Queens,1.0,159.0370277436611
Brokered by Keller Williams Rlty Landmark,House for sale,970000,4,2.0,2185.0,116-20 132nd St,"South Ozone Park, NY 11420","116-20 132nd StSouth Ozone Park, NY 11420",United States,New York,Queens County,Queens,132nd Street,"11620 132nd St, Jamaica, NY 11420, USA",40.6776259,-73.808058,13.785052381406867,7.689828668736484,443.9359267734554,6.097930287020685,0.0018306636155606,0.0009153318077803,0.1942681083832516,0.0470855898849165,0.1191792527867501,0.1947964561146063,New York,Queens County,8.0,424.4758168174049
Brokered by REALHome Services & Solutions,Multi-family home for sale,1108900,6,2.0,2664.0,626 Ovington Ave,"Brooklyn, NY 11209","626 Ovington AveBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,Ovington Avenue,"626 Ovington Ave, Brooklyn, NY 11209, USA",40.63089,-74.018305,13.918879992735471,7.887959336599945,416.25375375375376,6.033694558915506,0.0022522522522522,0.0007507507507507,0.1593322475991572,0.2404304683791168,0.2052872454026306,0.1312749790516083,New York,Kings County,12.0,424.46110760415496
Brokered by COMPASS,Condo for sale,1750000,1,1.0,2184.207862,502 Park Ave Apt 12K,"Manhattan, NY 10022","502 Park Ave Apt 12KManhattan, NY 10022",New York,New York County,New York,Manhattan,502,"502 Park Ave Apt 12h, New York, NY 10022, USA",40.7632867,-73.9700993,14.375126917328105,7.6894662343551055,801.2057965937308,6.687365179180865,0.0004578318837678,0.0004578318837678,0.0198438503667966,0.2274741439754913,0.0970587316905646,0.0162828362818034,New York County,New York,1.0,43.34309398350876
