PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE,PRICE_CAT,PRICE_LOG,SQFT_LOG,PRICE_PER_SQFT,BEDS_PER_SQFT,BATH_PER_SQFT,DIST_TO_MANHATTAN,LOCALITY_GROUPED,BEDS_TIMES_BATH,SQFT_TIMES_DISTANCE
998800,3,4.0,2400.0,Waldron Ave,"Staten Island, NY 10301",10301,United States,New York,Richmond County,40.618648,-74.1019085,4,13.814310838588696,7.783640596221253,1.7747878602328029,0.00125,0.0016666666666666668,0.21006944631775545,United States,12.0,504.1666711626131
3150000,3,2.0,1952.0,184 Lincoln Pl Unit 2,"Brooklyn, NY 11217",New York,Kings County,Brooklyn,Park Slope,40.6754035,-73.9742051,5,14.962913328262083,7.577121930876679,1.9747489171697759,0.0015368852459016393,0.0010245901639344263,0.10773841811656215,Kings County,6.0,210.30539216352932
849000,1,1.0,2184.207862,263 W End Ave Apt 14C,"Manhattan, NY 10023",New York,New York County,New York,Manhattan,40.7802357,-73.9846328,3,13.651815643149092,7.6894662343551055,1.7753918447753003,0.00045783188376784625,0.00045783188376784625,0.013734785412597397,New York County,1.0,29.99962628107815
559500,1,1.0,800.0,50 Brighton 1 Rd Unit 5H,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,40.5751942,-73.9669983,2,13.234800594042618,6.68586094706836,1.9795207676052342,0.00125,0.00125,0.2079482530740028,Kings County,1.0,166.35860245920225
750000,1,1.0,835.0,333 E 66th St Apt 8E,"New York, NY 10065",New York,New York County,New York,Manhattan,40.7643711,-73.9593578,3,13.527829818844937,6.728628613084702,2.010488406588275,0.0011976047904191617,0.0011976047904191617,0.02215873182404007,New York County,1.0,18.50254107307346
1900000,2,2.0,1029.0,150 Rivington St Apt 3G,"New York, NY 10002",New York,New York County,New York,Manhattan,40.7193408,-73.9856438,5,14.45736497045232,6.937314081223682,2.0840003495851764,0.001943634596695821,0.001943634596695821,0.06537475769041323,New York County,4.0,67.27062566343521
1250000,2,2.0,1201.0,1105 Cortelyou Rd # 301,"Brooklyn, NY 11218",New York,Kings County,Brooklyn,Flatbush,40.6400234,-73.9676099,4,14.038654909278163,7.091742115095153,1.9795777513392843,0.0016652789342214821,0.0016652789342214821,0.14312163458251212,Kings County,4.0,171.88908313359707
1395000,2,2.0,1182.0,737 Bergen St Apt 1B,"Brooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,40.6787789,-73.9643728,4,14.148405690083225,7.075808863978387,1.9995460536123437,0.001692047377326565,0.001692047377326565,0.10454426127267744,Kings County,4.0,123.57131682430473
198000,1,1.0,2184.207862,83-55 Woodhaven Blvd Unit 1A,"Woodhaven, NY 11421",New York,Queens County,Queens,Woodhaven,40.700309,-73.8535466,1,12.19602736016897,7.6894662343551055,1.5860694342709234,0.00045783188376784625,0.00045783188376784625,0.14386338037373791,Queens County,1.0,314.2275264662149
619888,3,2.0,1400.0,35 Center Pl,"Staten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5632116,-74.1002521,2,13.337295708735022,7.244941546337007,1.8409114308835615,0.002142857142857143,0.0014285714285714286,0.2549614734993707,New York,6.0,356.946062899119
1489000,6,2.3738608579684373,3780.0,205 Wiman Ave,"Staten Island, NY 10308",United States,New York,Richmond County,Staten Island,40.5395319,-74.1450877,4,14.213615983257593,8.237743803890933,1.7254258352322245,0.0015873015873015873,0.000628005517981068,0.2992696970107428,New York,14.243165147810624,1131.2394547006077
1595000,3,3.0,1413.0,924 Lafayette Ave Unit Ph,"Brooklyn, NY 11221",United States,New York,Kings County,Brooklyn,40.6915139,-73.935444,4,14.282384921160133,7.254177846456518,1.9688495682714364,0.0021231422505307855,0.0021231422505307855,0.09831838713694178,New York,9.0,138.92388102449874
655000,3,2.0,803.0,1504 Jefferson Ave Unit Gardenb,"Brooklyn, NY 11237",United States,New York,Kings County,Brooklyn,40.6967268,-73.9074036,2,13.39239204133378,6.6895992691789665,2.001972241153014,0.0037359900373599006,0.0024906600249066002,0.10737928259771355,New York,6.0,86.22556392596398
1175000,2,2.0,1115.0,924 Lafayette Ave Apt 2,"Brooklyn, NY 11221",New York,Kings County,Brooklyn,Bedford-Stuyvesant,40.6915139,-73.935444,4,13.976779556623864,7.017506142941256,1.9917017914808348,0.0017937219730941704,0.0017937219730941704,0.09831838713694178,Kings County,4.0,109.62500165769009
798000,3,4.0,2150.0,425 Father Capodanno Blvd,"Staten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5874844,-74.0701056,3,13.589865129563993,7.67368812926773,1.7709691742268943,0.0013953488372093023,0.0018604651162790699,0.21919803985145578,New York,12.0,471.27578568062995
1685000,3,2.3738608579684373,2184.207862,519 Fairview Ave,"Ridgewood, NY 11385",United States,New York,Queens County,Queens,40.7083434,-73.9081614,4,14.337276715240233,7.6894662343551055,1.8645347125895353,0.0013734956513035386,0.0010868291884064453,0.09778759805578585,New York,7.121582573905312,213.58844047954338
2550000,3,2.3738608579684373,2184.207862,234 Ocean View Ave,"Brooklyn, NY 11235",United States,New York,Kings County,Brooklyn,40.5785288,-73.9655666,5,14.751604309291395,7.6894662343551055,1.9184172034443652,0.0013734956513035386,0.0010868291884064453,0.20464875046038894,New York,7.121582573905312,446.9954097040577
119000,3,2.3738608579684373,2184.207862,3652 DE Reimer Ave,"Bronx, NY 10466",United States,New York,Bronx County,The Bronx,40.8841699,-73.8388387,1,11.686887175419702,7.6894662343551055,1.5198567519816737,0.0013734956513035386,0.0010868291884064453,0.1665371983182768,New York,7.121582573905312,363.75185788223337
269000,5,2.0,2184.207862,24149 148th Dr,"Rosedale, NY 11422",United States,New York,Queens County,Queens,40.6534433,-73.741373,1,12.502470376049185,7.6894662343551055,1.6259217473627068,0.0022891594188392313,0.0009156637675356925,0.26387745220819764,New York,10.0,576.3632057176746
1650000,2,2.0,1065.0,200 E 94th St Apt 414,"New York, NY 10128",New York,New York County,New York,Manhattan,40.7833546,-73.9499982,4,14.316286451937186,6.97166860472579,2.0534949756838414,0.0018779342723004694,0.0018779342723004694,0.02120332861604528,New York County,4.0,22.581544976088225
1650000,2,2.0,1065.0,200 E 94th St Apt 414,"New York, NY 10128",New York,New York County,New York,Manhattan,40.7833546,-73.9499982,4,14.316286451937186,6.97166860472579,2.0534949756838414,0.0018779342723004694,0.0018779342723004694,0.02120332861604528,New York County,4.0,22.581544976088225
5750000,3,2.0,2223.0,250 E 21st St Unit 12B,"Manhattan, NY 10010",New York,New York County,New York,Manhattan,40.736608,-73.9822819,5,15.564710586686562,7.707062655370473,2.0195386079858433,0.001349527665317139,0.000899685110211426,0.04779450357112449,New York County,6.0,106.24718143860974
250000,5,2.0,2184.207862,130-24 150th St,"Jamaica, NY 11436",United States,New York,Queens County,Queens,40.66911,-73.789339,1,12.429220196836383,7.6894662343551055,1.616395705244785,0.0022891594188392313,0.0009156637675356925,0.21463257772527883,New York,10.0,468.80216370888013
950000,6,2.3738608579684373,3384.0,254-06 Craft Ave Unit 2,"Jamaica, NY 11422",New York,Queens County,Queens,Jamaica,40.6499031,-73.7354706,3,13.76421831620775,8.127109185346375,1.6936179891646332,0.0017730496453900709,0.0007014955254043845,0.2707577592497895,Queens County,14.243165147810624,916.2442573012877
