PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_CAT
695000,1,2.0,2184.207862,New York County,New York,40.7687538,-73.9631311,2
1850000,12,8.0,5250.0,New York,Kings County,40.6074371,-73.9588281,4
119000,3,1.0,2184.207862,Queens County,Queens,40.7095699,-73.79113,1
529000,1,1.0,2184.207862,New York County,New York,40.7371253,-73.9806613,2
459000,1,1.0,548.0,Kings County,Brooklyn,40.5786264,-73.9626111,2
318000,3,1.0,450.0,New York County,New York,40.7467649,-73.976998,1
899888,4,2.0,2185.0,New York,Richmond County,40.6215947,-74.1404429,3
749000,3,2.0,1080.0,New York,Richmond County,40.6266424,-74.1510397,3
1248000,6,3.0,2400.0,New York,Kings County,40.5904715,-73.9441041,4
699000,4,4.0,1619.0,New York,Kings County,40.6376197,-73.898975,3
3250000,8,4.0,2184.207862,New York,Bronx County,40.8984527,-73.9105843,5
559900,3,2.0,2184.207862,New York,Queens County,40.6957516,-73.7490297,2
12850000,5,5.0,5139.0,New York,New York County,40.7764987,-73.9782935,5
599999,5,4.0,2184.207862,New York,Queens County,40.6836616,-73.7970345,2
219000,1,1.0,780.0,Queens County,Queens,40.6981799,-73.83976,1
669999,4,2.0,1196.0,New York,Richmond County,40.5598117,-74.1585168,2
3595000,2,2.0,2184.207862,New York County,New York,40.7701937,-73.9829177,5
575000,2,2.0,2184.207862,Queens County,Queens,40.7373082,-73.878333,2
679000,6,3.0,2184.207862,New York,Kings County,40.6398004,-73.8974592,2
225000,2,1.0,600.0,New York County,New York,40.8375103,-73.9407123,1
455000,2,1.0,939.0,Richmond County,Staten Island,40.5599528,-74.1198255,2
1175000,4,2.0,2184.207862,Queens County,Queens,40.7932921,-73.7951779,4
990000,8,4.0,3120.0,New York,Bronx County,40.8182411,-73.8863072,3
999000,3,2.0,1900.0,New York,Kings County,40.6228038,-74.0109676,4
595000,3,1.0,660.0,New York County,New York,40.7059312,-74.0093393,2
1249000,3,4.0,2400.0,New York,Bronx County,40.8533232,-73.8509691,4
750000,5,3.0,3327.0,New York,Bronx County,40.8959505,-73.859572,3
471300,4,2.0,2175.0,New York,Kings County,40.6629386,-73.8878146,2
628000,3,2.0,900.0,Queens County,Queens,40.7376925,-73.8803546,2
14995000,3,0.0,2184.207862,New York,New York County,40.786046,-73.9718342,5
22500000,4,2.3738608579684373,4000.0,New York,New York County,40.7368312,-74.0024003,5
250000,1,1.0,750.0,Kings County,Brooklyn,40.5986758,-73.9325474,1
599000,3,1.0,1200.0,Kings County,Brooklyn,40.6279352,-74.0260154,2
3370000,2,2.0,2184.207862,New York County,New York,40.7321377,-73.9947952,5
288000,1,1.0,2184.207862,Queens County,Queens,40.7245599,-73.84686,1
550000,1,1.0,720.0,Queens County,Queens,40.7392191,-73.874525,2
1495000,2,2.0,1350.0,New York County,New York,40.7708195,-73.9595235,4
469000,3,2.0,1352.0,New York,Richmond County,40.6241938,-74.1500827,2
1100000,9,3.0,3944.0,New York,Bronx County,40.8473585,-73.9057344,4
2599000,3,6.0,4662.0,New York,Kings County,40.6883929,-73.9273243,5
780000,3,1.0,2184.207862,Kings County,Brooklyn,40.6807067,-73.96822,3
5000000,3,3.0,2162.0,New York County,New York,40.749728,-73.978916,5
